"Date","Time","Open","High","Low","Close","Up","Down","Volume"
04/09/2026,11:00,6809.88,6813.26,6809.68,6812.81,14086,13347,27433.00
04/09/2026,11:05,6812.95,6830.93,6812.93,6824.44,20796,14406,35202.00
04/09/2026,11:10,6824.60,6827.26,6821.71,6823.22,12937,14667,27604.00
04/09/2026,11:15,6823.24,6825.68,6819.68,6819.72,12235,13271,25506.00
04/09/2026,11:20,6819.45,6827.38,6818.99,6826.98,13124,9683,22807.00
04/09/2026,11:25,6827.02,6827.68,6822.69,6822.69,9424,11440,20864.00
04/09/2026,11:30,6822.65,6824.72,6820.93,6823.33,10895,10324,21219.00
04/09/2026,11:35,6823.33,6823.89,6819.15,6821.42,10565,10893,21458.00
04/09/2026,11:40,6821.37,6821.37,6816.46,6817.93,8484,10059,18543.00
04/09/2026,11:45,6817.91,6818.00,6814.82,6817.37,9851,9495,19346.00
04/09/2026,11:50,6817.38,6817.38,6813.75,6815.51,9883,10281,20164.00
04/09/2026,11:55,6815.30,6824.46,6815.30,6823.53,11954,9966,21920.00
04/09/2026,12:00,6823.43,6823.60,6820.88,6822.37,11783,10459,22242.00
04/09/2026,12:05,6822.41,6825.04,6821.70,6825.04,10692,8626,19318.00
04/09/2026,12:10,6825.04,6830.28,6824.03,6829.05,11060,9240,20300.00
04/09/2026,12:15,6828.98,6830.68,6827.71,6828.40,9147,10851,19998.00
04/09/2026,12:20,6828.46,6833.65,6827.63,6832.19,11881,8516,20397.00
04/09/2026,12:25,6832.24,6832.93,6829.44,6829.68,8815,10789,19604.00
04/09/2026,12:30,6829.81,6830.15,6827.09,6827.36,7767,9946,17713.00
04/09/2026,12:35,6827.33,6827.33,6821.20,6826.51,11093,11769,22862.00
04/09/2026,12:40,6826.44,6834.28,6826.10,6834.24,13814,9026,22840.00
04/09/2026,12:45,6834.22,6835.31,6829.66,6830.32,8935,8555,17490.00
04/09/2026,12:50,6830.32,6833.06,6830.32,6832.50,11501,7757,19258.00
04/09/2026,12:55,6832.39,6832.39,6828.18,6829.46,7525,9521,17046.00
04/09/2026,13:00,6829.53,6829.57,6827.79,6829.48,7778,8190,15968.00
04/09/2026,13:05,6829.52,6830.18,6812.02,6815.07,11353,15840,27193.00
04/09/2026,13:10,6815.03,6821.67,6815.03,6818.92,12851,10012,22863.00
04/09/2026,13:15,6818.89,6819.83,6814.34,6816.66,10562,11635,22197.00
