botName,type,description,symbol,status,quantity,daysInTrade,openPrice,closePrice,premium,pnl,ror,returnPct,risk,ev,alpha,highReturnPct,lowReturnPct,highReturnPctDate,lowReturnPctDate,expiration,openDate,closeDate,tags,underlyingOpen,underlyingClose
"ORB-60","shortcallspread","-7,565 call, +7,575 call","SPX","closed",1,0,1.85,1.35,-185,50,0.06135,0.27027,815,"38.85659","0.047502","0.27027027","-0.28108108","2026-06-16 10:59:00","2026-06-16 10:41:00","2026-06-16 16:00:00","2026-06-16 10:30:05","2026-06-16 10:59:00","test b",7540.4,7538.21
"ORB-60","shortputspread","-7,360 put, +7,350 put","SPX","closed",1,0,1.65,1.15,-165,50,0.05988,0.30303,835,"157.03064","0.188061","0.3030303","-0.84848485","2026-06-12 10:59:00","2026-06-12 10:49:00","2026-06-12 16:00:00","2026-06-12 10:40:01","2026-06-12 10:59:00","test a",7416.6,7435.41
"ORB-60","shortcallspread","-7,330 call, +7,340 call","SPX","closed",1,0,1.55,0.95,-155,60,0.071006,0.387097,845,"153.56123","0.181729","0.40645161","-1.25806452","2026-06-11 13:00:00","2026-06-11 12:13:00","2026-06-11 16:00:00","2026-06-11 11:00:06","2026-06-11 13:03:01","test b",7265.2,7276.87
"ORB-60","shortputspread","-7,420 put, +7,410 put","SPX","closed",1,0,1.1,2.7,-110,-160,-0.179775,-1.454545,890,"90.51429","0.10136","0.22727273","-1.45454545","2026-06-08 11:25:00","2026-06-08 11:31:00","2026-06-08 16:00:00","2026-06-08 11:00:02","2026-06-08 11:31:00","test a",7463.24,7438.83
"ORB-60","shortputspread","-7,580 put, +7,570 put","SPX","closed",1,0,1.15,0.65,-115,50,0.056497,0.434783,885,"47.21707","0.053172","0.43478261","-0.0173913","2026-06-02 10:55:00","2026-06-02 10:40:00","2026-06-02 16:00:00","2026-06-02 10:35:06","2026-06-02 10:55:01","test a",7603.38,7613
"ORB-60","shortputspread","-7,560 put, +7,550 put","SPX","closed",1,0,0.75,0.25,-75,50,0.054054,0.666667,925,"47.52051","0.051374","0.66666667","-0.82666667","2026-06-01 12:53:00","2026-06-01 12:18:00","2026-06-01 16:00:00","2026-06-01 11:35:01","2026-06-01 12:53:00","test a",7588.02,7592.22
"ORB-60","shortcallspread","-7,600 call, +7,610 call","SPX","closed",1,0,1.85,1.3,-185,55,0.067485,0.297297,815,"128.67815","0.157308","0.31351351","0.04324324","2026-05-29 10:46:00","2026-05-29 10:40:03","2026-05-29 16:00:00","2026-05-29 10:40:02","2026-05-29 10:46:01","test b",7573.53,7565.85
"ORB-60","shortcallspread","-7,535 call, +7,545 call","SPX","closed",1,0,1.45,0.9,-145,55,0.064327,0.37931,855,"87.46199","0.101937","0.4","-0.32413793","2026-05-27 11:45:00","2026-05-27 11:33:00","2026-05-27 16:00:00","2026-05-27 11:25:02","2026-05-27 11:45:00","test b",7511.06,7503.71
"ORB-60","shortputspread","-7,505 put, +7,495 put","SPX","closed",1,0,1.2,2.8,-120,-160,-0.181818,-1.333333,880,"84.36713","0.095872","0.25","-1.33333333","2026-05-26 10:41:00","2026-05-26 11:31:00","2026-05-26 16:00:00","2026-05-26 10:40:01","2026-05-26 11:31:00","test a",7535.48,7514.89
"ORB-60","shortputspread","-7,355 put, +7,345 put","SPX","closed",1,0,0.85,0.25,-85,60,0.065574,0.705882,915,"79.96298","0.087391","0.70588235","-0.29411765","2026-05-20 11:16:00","2026-05-20 10:36:00","2026-05-20 16:00:00","2026-05-20 10:35:00","2026-05-20 11:16:01","test a",7401.1,7426.44
