"Date","Time","Open","High","Low","Close","Up","Down"
05/21/2026,10:50,7408.57,7414.28,7408.57,7414.19,10770,9026
05/21/2026,10:55,7414.13,7415.14,7411.60,7413.08,7644,8177
05/21/2026,11:00,7413.01,7413.88,7409.89,7410.01,9570,11006
05/21/2026,11:05,7410.09,7416.18,7410.09,7414.94,10949,8569
05/21/2026,11:10,7414.79,7417.03,7411.73,7416.79,10009,8696
05/21/2026,11:15,7416.91,7416.91,7410.44,7412.05,10745,11866
05/21/2026,11:20,7412.20,7412.98,7408.90,7409.48,7808,8950
05/21/2026,11:25,7409.42,7410.93,7401.98,7405.93,8559,7979
05/21/2026,11:30,7405.88,7406.61,7403.32,7405.62,7332,8344
05/21/2026,11:35,7405.57,7408.91,7404.43,7407.88,8681,8806
05/21/2026,11:40,7407.88,7409.16,7401.50,7404.40,7726,8932
05/21/2026,11:45,7404.42,7407.22,7403.25,7406.42,10687,8732
05/21/2026,11:50,7406.48,7408.82,7401.10,7402.51,7893,8873
05/21/2026,11:55,7402.45,7404.79,7398.82,7403.70,8295,7340
05/21/2026,12:00,7403.72,7407.08,7403.29,7407.08,9667,6937
05/21/2026,12:05,7406.96,7411.19,7406.96,7408.44,9627,8759
05/21/2026,12:10,7408.45,7410.53,7408.42,7408.77,8166,7164
05/21/2026,12:15,7408.61,7428.10,7408.42,7422.12,17773,12832
05/21/2026,12:20,7422.13,7440.75,7420.89,7435.01,23362,16283
05/21/2026,12:25,7434.88,7447.29,7428.67,7437.07,19932,15679
05/21/2026,12:30,7437.03,7439.80,7436.50,7438.80,12473,10447
05/21/2026,12:35,7438.72,7444.08,7438.26,7440.48,13075,10206
05/21/2026,12:40,7440.42,7445.95,7440.37,7445.31,12152,8613
05/21/2026,12:45,7445.33,7453.48,7445.33,7452.95,13078,12486
05/21/2026,12:50,7453.00,7455.77,7450.28,7455.62,12511,11565
05/21/2026,12:55,7455.67,7463.58,7454.12,7463.17,15788,12046
05/21/2026,13:00,7463.12,7465.96,7454.15,7454.28,12782,15840
05/21/2026,13:05,7454.16,7458.62,7447.35,7447.81,13588,11993
05/21/2026,13:10,7447.78,7454.21,7446.40,7452.50,13042,11865
05/21/2026,13:15,7452.50,7452.86,7446.38,7446.59,11274,11550
05/21/2026,13:20,7446.71,7450.16,7444.21,7449.94,12803,10402
05/21/2026,13:25,7449.89,7452.70,7448.34,7452.70,12447,10024
05/21/2026,13:30,7452.68,7453.67,7450.20,7451.05,9994,12744
05/21/2026,13:35,7451.06,7453.12,7449.41,7450.30,11411,9828
05/21/2026,13:40,7450.27,7451.52,7447.61,7448.74,9657,9805
05/21/2026,13:45,7448.74,7454.19,7448.64,7452.71,10152,9887
05/21/2026,13:50,7452.61,7453.99,7440.38,7441.82,11971,16251
05/21/2026,13:55,7441.93,7446.99,7422.86,7422.86,13779,16852
05/21/2026,14:00,7421.48,7427.33,7420.05,7427.28,12741,13835
05/21/2026,14:05,7427.38,7436.27,7427.38,7436.18,12594,9766
05/21/2026,14:10,7436.18,7441.41,7431.43,7441.39,16038,11339
05/21/2026,14:15,7441.49,7442.58,7438.40,7442.55,10619,11550
05/21/2026,14:20,7442.65,7445.74,7442.27,7445.19,12973,11189
05/21/2026,14:25,7445.34,7446.14,7441.57,7444.00,11560,13876
05/21/2026,14:30,7443.90,7446.09,7442.12,7444.24,14389,13573
05/21/2026,14:35,7444.16,7446.05,7441.25,7441.44,14996,17000
05/21/2026,14:40,7441.58,7445.69,7441.58,7444.68,17590,15908
05/21/2026,14:45,7444.83,7447.36,7438.74,7441.77,17289,19031
05/21/2026,14:50,7441.71,7445.49,7439.55,7443.26,20297,21688
05/21/2026,14:55,7443.46,7447.25,7437.50,7440.90,37639,34495
05/21/2026,15:00,7440.80,7448.85,7437.83,7445.70,720083,154473
05/22/2026,08:35,7468.82,7491.08,7468.82,7490.00,44005,100406
05/22/2026,08:40,7491.05,7497.54,7488.58,7496.04,27893,25408
05/22/2026,08:45,7496.36,7499.46,7489.04,7492.00,25986,21412
05/22/2026,08:50,7492.23,7498.57,7489.18,7492.00,21182,21757
05/22/2026,08:55,7492.18,7493.01,7485.19,7490.88,18765,19657
05/22/2026,09:00,7490.71,7493.28,7486.37,7493.28,18076,14672
05/22/2026,09:05,7494.12,7494.12,7476.76,7480.07,19561,21596
05/22/2026,09:10,7480.07,7480.07,7471.83,7479.18,18070,16381
05/22/2026,09:15,7479.22,7481.39,7473.98,7474.01,16268,19054
05/22/2026,09:20,7474.00,7478.53,7471.87,7471.96,19946,16955
05/22/2026,09:25,7472.06,7473.30,7463.29,7466.95,15001,18025
05/22/2026,09:30,7467.12,7474.41,7466.86,7474.41,17064,15435
05/22/2026,09:35,7474.46,7477.54,7472.34,7477.16,18250,14779
05/22/2026,09:40,7477.01,7481.25,7476.63,7478.38,16316,14230
05/22/2026,09:45,7478.25,7482.91,7478.20,7481.76,14947,13498
05/22/2026,09:50,7481.98,7482.33,7476.19,7480.17,15109,15854
05/22/2026,09:55,7480.16,7480.16,7477.04,7479.99,14190,12900
05/22/2026,10:00,7479.87,7484.31,7479.00,7481.99,14573,13042
05/22/2026,10:05,7482.02,7486.12,7482.02,7485.99,13781,13074
05/22/2026,10:10,7485.76,7488.46,7484.80,7487.64,11952,10822
05/22/2026,10:15,7488.01,7488.21,7484.90,7487.61,11330,10975
05/22/2026,10:20,7487.67,7491.85,7486.71,7491.84,13223,10929
05/22/2026,10:25,7491.70,7491.70,7488.26,7489.89,10935,11368
05/22/2026,10:30,7489.90,7496.41,7488.38,7496.41,12811,8448
05/22/2026,10:35,7496.56,7497.76,7492.84,7493.89,10615,10942
05/22/2026,10:40,7493.84,7496.18,7492.37,7494.03,11224,9869
05/22/2026,10:45,7494.01,7495.01,7492.36,7494.53,9711,9611
05/22/2026,10:50,7494.44,7495.32,7490.95,7491.10,8942,9911
05/22/2026,10:55,7491.05,7495.40,7490.93,7494.49,9882,9346
