Date,Time,Symbol,Source (Live/Historical),Market (Pre-Market/In-Market),is_premarket (DB),source (DB)
2026-06-03,13:00,SPX,Historical,In-Market,0,histgex
2026-06-03,13:30,SPX,Historical,In-Market,0,histgex
2026-06-03,14:00,SPX,Historical,In-Market,0,histgex
2026-06-03,14:30,SPX,Historical,In-Market,0,histgex
2026-06-03,15:00,SPX,Historical,In-Market,0,histgex
2026-06-03,15:30,SPX,Historical,In-Market,0,histgex
2026-06-02,09:30,SPX,Historical,In-Market,0,histgex
2026-06-02,10:00,SPX,Historical,In-Market,0,histgex
2026-06-02,10:30,SPX,Historical,In-Market,0,histgex
2026-06-02,11:00,SPX,Historical,In-Market,0,histgex
2026-06-02,11:30,SPX,Historical,In-Market,0,histgex
2026-06-02,12:00,SPX,Historical,In-Market,0,histgex
2026-06-02,12:30,SPX,Historical,In-Market,0,histgex
2026-06-02,13:00,SPX,Historical,In-Market,0,histgex
2026-06-02,13:30,SPX,Historical,In-Market,0,histgex
2026-06-02,14:00,SPX,Historical,In-Market,0,histgex
2026-06-02,14:30,SPX,Historical,In-Market,0,histgex
2026-06-02,15:00,SPX,Historical,In-Market,0,histgex
2026-06-02,15:30,SPX,Historical,In-Market,0,histgex
2026-06-01,09:30,SPX,Historical,In-Market,0,histgex
2026-06-01,10:00,SPX,Historical,In-Market,0,histgex
2026-06-01,10:30,SPX,Historical,In-Market,0,histgex
2026-06-01,11:00,SPX,Historical,In-Market,0,histgex
2026-06-01,11:30,SPX,Historical,In-Market,0,histgex
2026-06-01,12:00,SPX,Historical,In-Market,0,histgex
2026-06-01,12:30,SPX,Historical,In-Market,0,histgex
2026-06-01,13:00,SPX,Historical,In-Market,0,histgex
2026-06-01,13:30,SPX,Historical,In-Market,0,histgex
2026-06-01,14:00,SPX,Historical,In-Market,0,histgex
2026-06-01,14:30,SPX,Historical,In-Market,0,histgex
2026-06-01,15:00,SPX,Historical,In-Market,0,histgex
2026-06-01,15:30,SPX,Historical,In-Market,0,histgex
2026-05-29,09:30,SPX,Historical,In-Market,0,histgex
2026-05-29,10:00,SPX,Historical,In-Market,0,histgex
2026-05-29,10:30,SPX,Historical,In-Market,0,histgex
2026-05-29,11:00,SPX,Historical,In-Market,0,histgex
2026-05-29,11:30,SPX,Historical,In-Market,0,histgex
2026-05-29,12:00,SPX,Historical,In-Market,0,histgex
2026-05-29,12:30,SPX,Historical,In-Market,0,histgex
2026-05-29,13:00,SPX,Historical,In-Market,0,histgex
2026-05-29,13:30,SPX,Historical,In-Market,0,histgex
2026-05-29,14:00,SPX,Historical,In-Market,0,histgex
2026-05-29,14:30,SPX,Historical,In-Market,0,histgex
2026-05-29,15:00,SPX,Historical,In-Market,0,histgex
2026-05-29,15:30,SPX,Historical,In-Market,0,histgex
2026-05-28,09:30,SPX,Historical,In-Market,0,histgex
2026-05-28,10:00,SPX,Historical,In-Market,0,histgex
2026-05-28,10:30,SPX,Historical,In-Market,0,histgex
2026-05-28,11:00,SPX,Historical,In-Market,0,histgex
2026-05-28,11:30,SPX,Historical,In-Market,0,histgex
2026-05-28,12:00,SPX,Historical,In-Market,0,histgex
2026-05-28,12:30,SPX,Historical,In-Market,0,histgex
2026-05-28,13:00,SPX,Historical,In-Market,0,histgex
2026-05-28,13:30,SPX,Historical,In-Market,0,histgex
2026-05-28,14:00,SPX,Historical,In-Market,0,histgex
2026-05-28,14:30,SPX,Historical,In-Market,0,histgex
2026-05-28,15:00,SPX,Historical,In-Market,0,histgex
2026-05-28,15:30,SPX,Historical,In-Market,0,histgex
2026-05-27,09:30,SPX,Historical,In-Market,0,histgex
2026-05-27,10:00,SPX,Historical,In-Market,0,histgex
2026-05-27,10:30,SPX,Historical,In-Market,0,histgex
2026-05-27,11:00,SPX,Historical,In-Market,0,histgex
2026-05-27,11:30,SPX,Historical,In-Market,0,histgex
2026-05-27,12:00,SPX,Historical,In-Market,0,histgex
2026-05-27,12:30,SPX,Historical,In-Market,0,histgex
2026-05-27,13:00,SPX,Historical,In-Market,0,histgex
2026-05-27,13:30,SPX,Historical,In-Market,0,histgex
2026-05-27,14:00,SPX,Historical,In-Market,0,histgex
2026-05-27,14:30,SPX,Historical,In-Market,0,histgex
2026-05-27,15:00,SPX,Historical,In-Market,0,histgex
2026-05-27,15:30,SPX,Historical,In-Market,0,histgex
2026-05-26,09:30,SPX,Historical,In-Market,0,histgex
2026-05-26,10:00,SPX,Historical,In-Market,0,histgex
2026-05-26,10:30,SPX,Historical,In-Market,0,histgex
2026-05-26,11:00,SPX,Historical,In-Market,0,histgex
2026-05-26,11:30,SPX,Historical,In-Market,0,histgex
2026-05-26,12:00,SPX,Historical,In-Market,0,histgex
2026-05-26,12:30,SPX,Historical,In-Market,0,histgex
2026-05-26,13:00,SPX,Historical,In-Market,0,histgex
